19–23 Dec 2025,More in Common[98],2026,20%,62%,–42,19%,48%,–29,–,–,–,–,–,–,–,–,–,–,–,–,,,
12–16 Dec 2025,More in Common[207],2009,16%,62%,–46,20%,48%,–28,–,–,–,–,–,–,–,–,–,–,–,–,,,
4–8 Dec 2025,More in Common[99],2009,15%,65%,–50,19%,46%,–27,–,–,–,–,–,–,–,–,–,–,–,–,,,
28 Nov – 2 Dec 2025,Ipsos[24],1124,19%,56%,–37,21%,50%,–29,29%,48%,–19,24%,36%,–12,27%,37%,–10,11%[c],56%[c],–45[c],,,
28 Nov – 1 Dec 2025,More in Common[100],2114,17%,65%,–48,21%,49%,–28,–,–,–,–,–,–,–,–,–,–,–,–,,,
29–30 Nov 2025,"Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model","Your Party hosts its founding conference, formally adopting 'Your Party' as its name and agreeing a collective leadership model",,,
Date(s) conducted,Pollster,Sample size,Labour,Labour,Labour,Conservative,Conservative,Conservative,Reform,Reform,Reform,Lib Dems,Lib Dems,Lib Dems,Green,Green,Green,,,,,,
Date(s) conducted,Pollster,Sample size,,,,,,,,,,,,,,,,,,,,,
Date(s) conducted,Pollster,Sample size,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net,,,,,,
28–30 Nov 2025,Freshwater Strategy[25],1558,23%,60%,–37,30%,48%,–18,38%,41%,–3,31%,31%,0,34%,32%,+2,,,,,,
22–24 Nov 2025,More in Common[101],2062,16%,65%,–49,17%,51%,–34,–,–,–,–,–,–,–,–,–,,,,,,
16–20 Nov 2025,Survation[102],2082,30%,48%,–18,33%,40%,–7,40%,35%,+5,31%,29%,+2,32%,30%,+2,,,,,,
14–17 Nov 2025,More in Common[103],2052,17%,64%,–47,16%,50%,–34,–,–,–,–,–,–,–,–,–,,,,,,
